#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Chromosomes/RefSeq	Chromosomes/INSDC	Plasmids/RefSeq	Plasmids/INSDC	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center
Enterococcus faecium UAA721	1157459	PRJNA88347	88347	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA722	1157460	PRJNA88349	88349	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA723	1157461	PRJNA88351	88351	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA724	1157462	PRJNA88353	88353	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA725	1157463	PRJNA88355	88355	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA825	1157464	PRJNA88357	88357	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA944	1157465	PRJNA88359	88359	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium VAN 219	1157466	PRJNA88361	88361	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium VAN 222	1157467	PRJNA88363	88363	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium VAN 332	1157468	PRJNA88365	88365	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium VAN 335	1157469	PRJNA88367	88367	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium VAN 342	1157470	PRJNA88369	88369	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium VAN 345	1157471	PRJNA88371	88371	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium VRE 108	1157472	PRJNA88373	88373	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium VRE 110	1157473	PRJNA88375	88375	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium VRE 13	1157474	PRJNA88377	88377	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium VRE 84	1157475	PRJNA88379	88379	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA909	1157476	PRJNA88381	88381	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA910	1157477	PRJNA88383	88383	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA911	1157478	PRJNA88385	88385	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium F9730129-1	1157479	PRJNA88387	88387	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium HF50104	1157480	PRJNA88459	88459	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium HF50105	1157481	PRJNA88461	88461	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium HF50106	1157482	PRJNA88463	88463	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium HF50203	1157483	PRJNA88465	88465	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium HF50204	1157484	PRJNA88467	88467	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium HF50215	1157485	PRJNA88469	88469	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium HM1073	1157486	PRJNA88471	88471	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium HM1072	1157487	PRJNA88473	88473	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA945	1157488	PRJNA88475	88475	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecalis EnGen0253	1158540	PRJNA88799	88799	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA947	1158541	PRJNA88801	88801	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA951	1158543	PRJNA88805	88805	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA952	1158544	PRJNA88807	88807	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA1007	1158545	PRJNA88809	88809	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA1019	1158547	PRJNA88813	88813	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA1022	1158548	PRJNA88815	88815	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA1023	1158549	PRJNA88817	88817	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA1024	1158550	PRJNA88819	88819	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA1025	1158551	PRJNA88821	88821	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA1280	1158553	PRJNA88825	88825	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA1433	1158554	PRJNA88827	88827	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA1484	1158555	PRJNA88829	88829	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium ATCC 8459	1158600	PRJNA88837	88837	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA210	1158635	PRJNA88897	88897	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA407	1158636	PRJNA88993	88993	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA430	1158638	PRJNA88997	88997	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA431	1158639	PRJNA88999	88999	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Staphylococcus sp. EnGen0324	1158643	PRJNA89007	89007	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA949	1158644	PRJNA89009	89009	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium UAA950	1158645	PRJNA89011	89011	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium Efm_NY1-1	1158646	PRJNA89015	89015	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium Efm_NY1-2	1158647	PRJNA89017	89017	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium Efm_NY1-3	1158648	PRJNA89019	89019	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium Efm_NY1-4	1158649	PRJNA89021	89021	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium Efm_NY1-5	1158650	PRJNA89023	89023	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium Efm_NY1-6	1158651	PRJNA89025	89025	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium Efm_NY3-1	1158652	PRJNA89027	89027	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	Broad Institute
Enterococcus faecium LCT-EF90	1167697	PRJNA141665	141665	Firmicutes	Bacilli	2.71522	38.2	-	-	-	-	AJKH01	31	-	-	2012/04/09	2012/06/13	Scaffolds or contigs	BGI-shenzhen
Enterococcus faecium VAN 476	1169278	PRJNA157797	157797	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute
Enterococcus faecium VAN 327	1169279	PRJNA157799	157799	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Broad Institute
Enterococcus faecium C309	1176489	PRJNA160211	160211	Firmicutes	Bacilli	3.10243	37.6	-	-	-	-	AJTW01	199	-	-	2012/12/24	2012/12/24	Scaffolds or contigs	Shanghai Institutes for Biological Sciences, Chinese Academy of Sciences
Enterococcus faecium LCT-EF128	1178528	PRJNA161911	161911	Firmicutes	Bacilli	2.59348	38	-	-	-	-	AJUP01	14	-	-	2012/05/08	2012/06/13	Scaffolds or contigs	BGI-shenzhen
Enterococcus faecium NBRC 100486	1218090	PRJDB263	172086	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	National Institute of Technology and Evaluation
Enterococcus faecium LA4B-2	1244150	PRJNA177760	177760	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	The Genome Institute
Enterococcus faecium OC2A-1	1244151	PRJNA177761	177761	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	The Genome Institute
Enterococcus faecium SB2C-2	1244152	PRJNA177762	177762	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	The Genome Institute
Enterococcus faecium SD1C-2	1244153	PRJNA177763	177763	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	The Genome Institute
Enterococcus faecium SD2A-2	1244154	PRJNA177764	177764	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	The Genome Institute
Enterococcus faecium SD3B-2	1244155	PRJNA177765	177765	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	The Genome Institute
Enterococcus faecium LCT-EF20	1245477	PRJNA177986	177986	Firmicutes	Bacilli	2.71893	38.2	-	-	-	-	ANAI01	34	-	-	2012/11/09	2013/03/13	Scaffolds or contigs	BGI-shenzhen
Enterococcus faecium LCT-EF258	1245478	PRJNA177987	177987	Firmicutes	Bacilli	2.71742	38.2	-	-	-	-	ANAJ01	26	-	-	2012/11/09	2013/03/11	Scaffolds or contigs	BGI-shenzhen
Enterococcus faecium 13.SD.W.09	1259824	PRJNA179542	179542	Firmicutes	Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	No data	The Genome Institute
Enterococcus faecium E4453	873127	PRJNA179597	179597	Firmicutes	Bacilli	2.81931	37.8	-	-	-	-	AEDZ01	374	2850	2822	2011/12/20	2012/11/15	Scaffolds or contigs	University Medical Center Utrecht, Department of Medical Microbiology, The Netherlands, Utrecht
Enterococcus faecium E4452	933356	PRJNA179613	179613	Firmicutes	Bacilli	2.76903	37.8	-	-	-	-	AEOU01	268	2741	2715	2011/12/20	2012/11/15	Scaffolds or contigs	Department of Medical Microbiology, University Medical Center Utrecht
Enterococcus faecium TX1337RF	1134802	PRJNA181829	181829	Firmicutes	Bacilli	2.6867	38.2	-	-	-	-	AMAA01	48	2797	2754	2012/08/27	2012/11/23	Scaffolds or contigs	Washington University
Enterococcus faecium V689	1134841	PRJNA181831	181831	Firmicutes	Bacilli	2.86656	37.6	-	-	-	-	AMAC01	215	3044	3008	2012/09/04	2012/11/23	Scaffolds or contigs	Washington University
Enterococcus faecium S447	1134840	PRJNA181832	181832	Firmicutes	Bacilli	2.98373	37.5	-	-	-	-	AMAD01	220	3282	3242	2012/09/04	2012/11/23	Scaffolds or contigs	Washington University
Enterococcus faecium R501	1134839	PRJNA181833	181833	Firmicutes	Bacilli	3.00778	37.7	-	-	-	-	AMAE01	248	3316	3273	2012/09/04	2012/11/23	Scaffolds or contigs	Washington University
Enterococcus faecium R499	1134838	PRJNA181834	181834	Firmicutes	Bacilli	2.85158	37.7	-	-	-	-	AMAF01	203	3071	3026	2012/09/04	2012/11/23	Scaffolds or contigs	Washington University
Enterococcus faecium R497	1134837	PRJNA181835	181835	Firmicutes	Bacilli	2.98895	37.6	-	-	-	-	AMAG01	284	3304	3266	2012/09/04	2012/11/23	Scaffolds or contigs	Washington University
Enterococcus faecium R496	1134836	PRJNA181836	181836	Firmicutes	Bacilli	3.0582	37.3	-	-	-	-	AMAH01	245	3372	3334	2012/09/04	2012/11/23	Scaffolds or contigs	Washington University
Enterococcus faecium R494	1134835	PRJNA181837	181837	Firmicutes	Bacilli	2.85263	37.7	-	-	-	-	AMAI01	197	3073	3035	2012/09/04	2012/11/23	Scaffolds or contigs	Washington University
Enterococcus faecium R446	1134834	PRJNA181838	181838	Firmicutes	Bacilli	2.98247	37.5	-	-	-	-	AMAJ01	220	3312	3265	2012/09/04	2012/11/23	Scaffolds or contigs	Washington University
Enterococcus faecium P1986	1134833	PRJNA181839	181839	Firmicutes	Bacilli	2.98993	37.5	-	-	-	-	AMAK01	268	3284	3243	2012/09/04	2012/11/23	Scaffolds or contigs	Washington University
Enterococcus faecium P1190	1134832	PRJNA181840	181840	Firmicutes	Bacilli	2.89819	37.6	-	-	-	-	AMAL01	226	3123	3082	2012/09/04	2012/11/23	Scaffolds or contigs	Washington University
Enterococcus faecium P1140	1134831	PRJNA181841	181841	Firmicutes	Bacilli	2.91411	37.7	-	-	-	-	AMAM01	194	3137	3099	2012/09/04	2012/11/23	Scaffolds or contigs	Washington University
Enterococcus faecium P1139	1134830	PRJNA181842	181842	Firmicutes	Bacilli	2.9892	36.7	-	-	-	-	AMAN01	272	3302	3248	2012/09/04	2012/11/23	Scaffolds or contigs	Washington University
Enterococcus faecium P1137	1134829	PRJNA181843	181843	Firmicutes	Bacilli	2.7546	37.8	-	-	-	-	AMAO01	178	2959	2916	2012/09/04	2012/11/23	Scaffolds or contigs	Washington University
Enterococcus faecium P1123	1134828	PRJNA181844	181844	Firmicutes	Bacilli	2.97867	37	-	-	-	-	AMAP01	260	3300	3255	2012/09/04	2012/11/23	Scaffolds or contigs	Washington University
Enterococcus faecium ERV99	1134827	PRJNA181845	181845	Firmicutes	Bacilli	2.75155	37.7	-	-	-	-	AMAQ01	211	2951	2908	2012/09/04	2012/11/23	Scaffolds or contigs	Washington University
Enterococcus faecium ERV69	1134826	PRJNA181846	181846	Firmicutes	Bacilli	2.9816	37.8	-	-	-	-	AMAR01	172	3226	3184	2012/09/04	2012/11/23	Scaffolds or contigs	Washington University
Enterococcus faecium ERV38	1134825	PRJNA181847	181847	Firmicutes	Bacilli	3.00136	37.9	-	-	-	-	AMAS01	180	3269	3216	2012/09/04	2012/11/23	Scaffolds or contigs	Washington University
Enterococcus faecium ERV26	1134824	PRJNA181848	181848	Firmicutes	Bacilli	3.04531	37.6	-	-	-	-	AMAT01	244	3381	3336	2012/09/04	2012/11/23	Scaffolds or contigs	Washington University
Enterococcus faecium ERV168	1134823	PRJNA181849	181849	Firmicutes	Bacilli	2.98822	37.6	-	-	-	-	AMAU01	205	3218	3181	2012/09/04	2012/11/23	Scaffolds or contigs	Washington University
Enterococcus faecium ERV165	1134822	PRJNA181850	181850	Firmicutes	Bacilli	2.90505	38.2	-	-	-	-	AMAV01	202	3122	3082	2012/09/04	2012/11/23	Scaffolds or contigs	Washington University
Enterococcus faecium ERV161	1134821	PRJNA181851	181851	Firmicutes	Bacilli	2.79851	38.2	-	-	-	-	AMAW01	194	3006	2971	2012/09/04	2012/11/23	Scaffolds or contigs	Washington University
Enterococcus faecium ERV102	1134820	PRJNA181852	181852	Firmicutes	Bacilli	2.91012	38.2	-	-	-	-	AMAX01	213	3135	3095	2012/09/04	2012/11/23	Scaffolds or contigs	Washington University
Enterococcus faecium ERV1	1134819	PRJNA181853	181853	Firmicutes	Bacilli	2.86703	38.2	-	-	-	-	AMAY01	168	3105	3065	2012/09/04	2012/11/23	Scaffolds or contigs	Washington University
Enterococcus faecium E422	1134818	PRJNA181854	181854	Firmicutes	Bacilli	2.90377	38.2	-	-	-	-	AMAZ01	244	3162	3122	2012/09/04	2012/11/23	Scaffolds or contigs	Washington University
Enterococcus faecium E417	1134817	PRJNA181855	181855	Firmicutes	Bacilli	2.88932	38.2	-	-	-	-	AMBA01	177	3132	3085	2012/09/04	2012/11/23	Scaffolds or contigs	Washington University
Enterococcus faecium C621	1134816	PRJNA181856	181856	Firmicutes	Bacilli	2.91308	38.2	-	-	-	-	AMBB01	214	3140	3097	2012/09/04	2012/11/23	Scaffolds or contigs	Washington University
Enterococcus faecium C497	1134815	PRJNA181857	181857	Firmicutes	Bacilli	2.73201	38.2	-	-	-	-	AMBC01	181	2904	2867	2012/09/04	2012/11/23	Scaffolds or contigs	Washington University
Enterococcus faecium C1904	1134814	PRJNA181858	181858	Firmicutes	Bacilli	2.86016	37.6	-	-	-	-	AMBD01	213	3080	3036	2012/09/04	2012/11/23	Scaffolds or contigs	Washington University
Enterococcus faecium 515	1134813	PRJNA181859	181859	Firmicutes	Bacilli	2.87954	37.5	-	-	-	-	AMBE01	232	3098	3056	2012/09/04	2012/11/23	Scaffolds or contigs	Washington University
Enterococcus faecium 514	1134812	PRJNA181860	181860	Firmicutes	Bacilli	2.93536	36.3	-	-	-	-	AMBF01	247	3177	3139	2012/09/04	2012/11/23	Scaffolds or contigs	Washington University
Enterococcus faecium 513	1134811	PRJNA181861	181861	Firmicutes	Bacilli	2.86654	37.6	-	-	-	-	AMBG01	212	3055	3014	2012/09/04	2012/11/24	Scaffolds or contigs	Washington University
Enterococcus faecium 511	1134810	PRJNA181862	181862	Firmicutes	Bacilli	2.95217	36.6	-	-	-	-	AMBH01	250	3236	3204	2012/09/04	2012/11/24	Scaffolds or contigs	Washington University
Enterococcus faecium 510	1134809	PRJNA181863	181863	Firmicutes	Bacilli	2.89799	37.5	-	-	-	-	AMBI01	209	3109	3071	2012/09/04	2012/11/24	Scaffolds or contigs	Washington University
Enterococcus faecium 509	1134808	PRJNA181864	181864	Firmicutes	Bacilli	2.98209	36.3	-	-	-	-	AMBJ01	245	3236	3191	2012/09/04	2012/11/24	Scaffolds or contigs	Washington University
Enterococcus faecium 506	1134807	PRJNA181865	181865	Firmicutes	Bacilli	2.80547	37.7	-	-	-	-	AMBK01	195	3061	3027	2012/09/04	2012/11/24	Scaffolds or contigs	Washington University
Enterococcus faecium 505	1134806	PRJNA181866	181866	Firmicutes	Bacilli	2.62483	38.3	-	-	-	-	AMBL01	72	2698	2656	2012/09/04	2012/11/24	Scaffolds or contigs	Washington University
Enterococcus faecium 504	1134805	PRJNA181867	181867	Firmicutes	Bacilli	2.62239	37.9	-	-	-	-	AMBM01	104	2819	2782	2012/09/04	2012/11/24	Scaffolds or contigs	Washington University
Enterococcus faecium 503	1134804	PRJNA181868	181868	Firmicutes	Bacilli	2.75153	37.8	-	-	-	-	AMBN01	200	2945	2905	2012/09/04	2012/11/24	Scaffolds or contigs	Washington University
Enterococcus faecium E0045	1138880	PRJNA184080	184080	Firmicutes	Bacilli	2.61187	38.1	-	-	-	-	AHWH01	13	2604	2535	2012/12/17	2013/03/24	Scaffolds or contigs	Broad Institute
Enterococcus faecium E0120	1138881	PRJNA184081	184081	Firmicutes	Bacilli	2.8555	38	-	-	-	-	AHWI01	20	2833	2764	2012/12/17	2013/03/24	Scaffolds or contigs	Broad Institute
Enterococcus faecium E0164	1138882	PRJNA184082	184082	Firmicutes	Bacilli	2.59245	38.3	-	-	-	-	AHWJ01	14	2542	2474	2012/12/17	2013/03/21	Scaffolds or contigs	Broad Institute
Enterococcus faecium E0269	1138883	PRJNA184083	184083	Firmicutes	Bacilli	2.65325	38	-	-	-	-	AHWK01	13	2640	2575	2012/12/17	2013/03/21	Scaffolds or contigs	Broad Institute
Enterococcus faecium E0333	1138884	PRJNA184084	184084	Firmicutes	Bacilli	2.76308	38	-	-	-	-	AHWL01	27	2730	2647	2012/12/17	2013/03/21	Scaffolds or contigs	Broad Institute
Enterococcus faecium E0679	1138885	PRJNA184085	184085	Firmicutes	Bacilli	2.41381	38.3	-	-	-	-	AHWM01	8	2350	2272	2012/12/17	2013/03/21	Scaffolds or contigs	Broad Institute
Enterococcus faecium E0680	1138886	PRJNA184086	184086	Firmicutes	Bacilli	2.67359	38.1	-	-	-	-	AHWN01	18	2656	2575	2012/12/17	2013/03/21	Scaffolds or contigs	Broad Institute
Enterococcus faecium E0688	1138887	PRJNA184087	184087	Firmicutes	Bacilli	2.64548	38.3	-	-	-	-	AHWO01	7	2617	2527	2012/12/17	2013/03/21	Scaffolds or contigs	Broad Institute
Enterococcus faecium E1007	1138888	PRJNA184088	184088	Firmicutes	Bacilli	2.75452	38.2	-	-	-	-	AHWP01	6	2689	2614	2012/12/17	2013/03/21	Scaffolds or contigs	Broad Institute
Enterococcus faecium E1050	1138889	PRJNA184089	184089	Firmicutes	Bacilli	2.80054	38	-	-	-	-	AHWQ01	9	2770	2682	2012/12/17	2013/03/21	Scaffolds or contigs	Broad Institute
Enterococcus faecium E1133	1138890	PRJNA184090	184090	Firmicutes	Bacilli	3.1658	37.9	-	-	-	-	AHWR01	25	3199	3137	2012/12/17	2013/03/21	Scaffolds or contigs	Broad Institute
Enterococcus faecium E1185	1138891	PRJNA184091	184091	Firmicutes	Bacilli	2.77494	38	-	-	-	-	AHWS01	11	2760	2679	2012/12/17	2013/03/21	Scaffolds or contigs	Broad Institute
Enterococcus faecium E1258	1138892	PRJNA184092	184092	Firmicutes	Bacilli	2.79304	38.1	-	-	-	-	AHWT01	8	2727	2638	2012/12/17	2013/03/21	Scaffolds or contigs	Broad Institute
Enterococcus faecium E1392	1138894	PRJNA184093	184093	Firmicutes	Bacilli	3.15748	37.6	-	-	-	-	AHWV01	39	3169	3097	2012/12/17	2013/03/21	Scaffolds or contigs	Broad Institute
Enterococcus faecium E1552	1138895	PRJNA184094	184094	Firmicutes	Bacilli	2.59954	38.2	-	-	-	-	AHWW01	6	2538	2472	2012/12/17	2013/03/21	Scaffolds or contigs	Broad Institute
Enterococcus faecium E1573	1138896	PRJNA184095	184095	Firmicutes	Bacilli	2.81106	38	-	-	-	-	AHWX01	9	2757	2672	2012/12/17	2013/03/21	Scaffolds or contigs	Broad Institute
Enterococcus faecium E1574	1138897	PRJNA184096	184096	Firmicutes	Bacilli	2.77769	38	-	-	-	-	AHWY01	18	2716	2653	2012/12/17	2013/03/21	Scaffolds or contigs	Broad Institute
Enterococcus faecium E1575	1138898	PRJNA184097	184097	Firmicutes	Bacilli	2.68326	38.1	-	-	-	-	AHWZ01	19	2690	2620	2012/12/17	2013/03/21	Scaffolds or contigs	Broad Institute
Enterococcus faecium E1576	1138899	PRJNA184098	184098	Firmicutes	Bacilli	2.68232	38	-	-	-	-	AHXA01	36	2590	2519	2012/12/17	2013/03/21	Scaffolds or contigs	Broad Institute
Enterococcus faecium E1578	1138900	PRJNA184099	184099	Firmicutes	Bacilli	2.66339	38.1	-	-	-	-	AHXB01	3	2605	2519	2012/12/17	2013/03/21	Scaffolds or contigs	Broad Institute
Enterococcus faecium E1590	1138901	PRJNA184100	184100	Firmicutes	Bacilli	3.0095	38.1	-	-	-	-	AHXC01	14	2966	2895	2012/12/17	2013/03/21	Scaffolds or contigs	Broad Institute
Enterococcus faecium E1604	1138902	PRJNA184101	184101	Firmicutes	Bacilli	2.83442	38.3	-	-	-	-	AHXD01	5	2823	2749	2012/12/17	2013/03/21	Scaffolds or contigs	Broad Institute
Enterococcus faecium E1613	1138903	PRJNA184102	184102	Firmicutes	Bacilli	2.87467	38.2	-	-	-	-	AHXE01	11	2881	2801	2012/12/17	2013/03/21	Scaffolds or contigs	Broad Institute
Enterococcus faecium E1620	1138904	PRJNA184103	184103	Firmicutes	Bacilli	2.46892	38.2	-	-	-	-	AHXF01	5	2421	2366	2012/12/17	2013/03/21	Scaffolds or contigs	Broad Institute
Enterococcus faecium E1622	1138905	PRJNA184104	184104	Firmicutes	Bacilli	2.61226	38.1	-	-	-	-	AHXG01	6	2538	2471	2012/12/17	2013/03/21	Scaffolds or contigs	Broad Institute
Enterococcus faecium E1623	1138906	PRJNA184105	184105	Firmicutes	Bacilli	2.79657	38	-	-	-	-	AHXH01	22	2764	2686	2012/12/17	2013/03/21	Scaffolds or contigs	Broad Institute
Enterococcus faecium E1626	1138907	PRJNA184106	184106	Firmicutes	Bacilli	2.87663	37.7	-	-	-	-	AHXI01	43	2832	2765	2012/12/17	2013/03/21	Scaffolds or contigs	Broad Institute
Enterococcus faecium E1627	1138908	PRJNA184107	184107	Firmicutes	Bacilli	2.68477	38	-	-	-	-	AHXJ01	22	2619	2546	2012/12/17	2013/03/21	Scaffolds or contigs	Broad Institute
Enterococcus faecium E1630	1138909	PRJNA184108	184108	Firmicutes	Bacilli	2.77081	38.1	-	-	-	-	AHXK01	21	2815	2732	2012/12/17	2013/03/21	Scaffolds or contigs	Broad Institute
Enterococcus faecium E1634	1138910	PRJNA184109	184109	Firmicutes	Bacilli	2.60808	38.1	-	-	-	-	AHXL01	6	2573	2489	2012/12/17	2013/03/21	Scaffolds or contigs	Broad Institute
Enterococcus faecium E1731	1138913	PRJNA184110	184110	Firmicutes	Bacilli	2.96384	37.9	-	-	-	-	AHXO01	23	2933	2859	2012/12/17	2013/03/21	Scaffolds or contigs	Broad Institute
Enterococcus faecium E1861	1138914	PRJNA184111	184111	Firmicutes	Bacilli	2.77493	38.3	-	-	-	-	AHXP01	8	2751	2673	2012/12/17	2013/03/21	Scaffolds or contigs	Broad Institute
Enterococcus faecium E1904	1138915	PRJNA184112	184112	Firmicutes	Bacilli	3.0811	37.7	-	-	-	-	AHXQ01	34	3198	3120	2012/12/17	2013/03/21	Scaffolds or contigs	Broad Institute
Enterococcus faecium E1972	1138916	PRJNA184113	184113	Firmicutes	Bacilli	2.8865	38.1	-	-	-	-	AHXR01	7	2887	2821	2012/12/17	2013/03/21	Scaffolds or contigs	Broad Institute
Enterococcus faecium E2039	1138917	PRJNA184114	184114	Firmicutes	Bacilli	2.90835	38.2	-	-	-	-	AHXS01	11	2915	2821	2012/12/17	2013/03/21	Scaffolds or contigs	Broad Institute
Enterococcus faecium E2071	1138918	PRJNA184115	184115	Firmicutes	Bacilli	2.69424	38.1	-	-	-	-	AHXT01	14	2649	2576	2012/12/17	2013/03/21	Scaffolds or contigs	Broad Institute
